code,name,academic_units,exam_schedule,common_information,description,mutually_exclusive,not_available,not_available_all,offered_as_bde,offered_as_ue,prerequisite,department_maintaining,grade_type,not_offered_as_bde_ue_to,not_offered_as_core_to,not_offered_as_pe_to,program_list,level
BM2504,INTEGRATED MARKETING COMMUNICATIONS,4,,SEM^1^THU^1430-1720^S4-SR24^,"Integrated Marketing Communications (or `IMC') has been a popular `buzz phrase' since the fragmentation of mass media and the proliferation of different ways to reach consumers. IMC essentially looks at how companies use messages and channels to communicate about their brand, in an integrated fashion. The emphasis of this course will be on understanding the advertising process from content creation to placement and evaluation. Specifically, our initial focus will be on crafting powerful and persuasive messages. Later, we will consider how different channels and IMC components are used to influence consumers. Throughout the course, we ask you to be aware that you are surrounded by communications in your daily life. You will be challenged to think about these critically from the perspective of both the marketer and the consumer. By the end of this course, students should not only be familiar with a large body of advertising knowledge but also be
able to apply this information to create powerful advertising campaigns.","BM2512, BU5502, BU8502, CS2058",,(Admyr 2021-onwards),0,1,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2506,DIGITAL MARKETING:CONNECTING WITH CUSTOMERS IN TODAY'S WORLD,4,,,"This course offers an overview of digital marketing strategy development and implementation. Strategic frameworks and models are introduced to help you understand how to analyze digital marketing landscape, evaluate the effectiveness of different digital marketing tactics, and develop marketing plan that integrates multiple online and offline media. The complementary role of traditional and digital marketing along a customer journey will be highlighted. Trends, opportunities, and threats in the field will also be discussed. Business students who wish to enter the field of marketing and any students who wish to build their own brands through digital media would find this course useful. You will learn how to solve real problems in digital marketing through case discussions, individual and
group project. You will also gain hands-on experiences in selected areas of digital marketing through assignments.",BM2514,,(Admyr 2021-onwards),0,1,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2507,MARKETING ANALYTICS,4,,,"This course aims to introduce you to several analytics tools that are applied for marketing decisions. After completion of the course you should be equipped with the conceptual and technical knowledge on how and when to apply these tools in solving marketing decision problems. The course is suitable for second year students enrolled in any business program. The course is also suitable for non-business students interested in marketing analytics. Exposure to introductory statistics or equivalent is necessary. The course will equip the students with the foundational to intermediate level skills on marketing analytics, and will facilitate immersion into a career in marketing analytics, marketing research and brand management, should they choose to do so.",BM2515,,(Admyr 2021-onwards),0,1,AB1202,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2509,CONSUMER INSIGHTS,3,,,"This course will introduce you to key consumer behavior concepts, thus equipping you - as current or future managers - with the knowledge to discover insights as well as to evaluate and design effective marketing decisions. After the completion of this course, you should be able to understand the psychology of how consumers think, feel, reason, and choose between different alternatives (e.g., brands, products), how social and cultural environments (e.g., friends, family, and culture) influence consumer behaviour, and how marketers can use consumer insights to develop marketing campaigns/strategies to reach their target segments. You will also learn to appreciate the relevance of consumer behaviour for marketers and policymakers.",BM2501,,(Admyr 2013-2020),1,0,AB1501,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2510,MARKET INTELLIGENCE,3,,,"This course aims to develop students' basic skills in conducting and evaluating marketing research projects. It is primarily designed for those who intend to pursue a career in marketing research and for those who will rely on marketing research information for decision making. The main emphasis is on problem formulation, research design, methods of data collection, and data analysis.",BM2502,,(Admyr 2011-2020),1,0,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2512,INTEGRATED MARKETING COMMUNICATIONS,3,,SEM^1^THU^1430-1720^S4-SR24^,"Integrated Marketing Communications (or `IMC') has been a popular `buzz phrase' since the fragmentation of mass media and the proliferation of different ways to reach consumers. IMC essentially looks at how companies use messages and channels to communicate about their brand, in an integrated fashion. The emphasis of this course will be on understanding the advertising process from content creation to placement and evaluation. Specifically, our initial focus will be on crafting powerful and persuasive messages. Later, we will consider how different channels and IMC components are used to influence consumers. Throughout the course, we ask you to be aware that you are surrounded by communications in your daily life. You will be challenged to think about these critically from the perspective of both the marketer and the consumer. By the end of this course, students should not only be familiar with a large body of advertising knowledge but also be
able to apply this information to create powerful advertising campaigns.","BM2504, BU5502, BU8502, CS2058",,(Admyr 2011-2020),1,0,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2514,DIGITAL MARKETING,3,,,"This course offers an overview of digital marketing strategy development and implementation. Strategic frameworks and models are introduced to help you understand how to analyze digital marketing landscape, evaluate the effectiveness of different digital marketing tactics, and develop marketing plan that integrates multiple online and offline media. The complementary role of traditional and digital marketing along a customer journey will be highlighted. Trends, opportunities, and threats in the field will also be discussed. Business students who wish to enter the field of marketing and any students who wish to build their own brands through digital media would find this course useful. You will learn how to solve real problems in digital marketing through case discussions, individual and
group project. You will also gain hands-on experiences in selected areas of digital marketing through assignments.",BM2506,,(Admyr 2011-2020),1,0,,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM2515,MARKETING ANALYTICS,3,,,"This course aims to introduce you to several analytics tools that are applied for marketing decisions. After completion of the course you should be equipped with the conceptual and technical knowledge on how and when to apply these tools in solving marketing decision problems. The course is suitable for second year students enrolled in any business program. The course is also suitable for non-business students interested in marketing analytics. Exposure to introductory statistics or equivalent is necessary. The course will equip the students with the foundational to intermediate level skills on marketing analytics, and will facilitate immersion into a career in marketing analytics, marketing research and brand management, should they choose to do so.",BM2507,,(Admyr 2011-2020),1,0,AB1202,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",2
BM3506,STRATEGIC BRAND MANAGEMENT,4,,,"The brands that a firm has invested in and developed over time are typically their most valuable assets. Product designs, manufacturing processes and other business processes may be easily copied, but a strong brand is something that cannot be easily reproduced. Many Asian companies are coming to terms with the importance of branding and are putting more resources into building a strong brand. This is evident from the number of branding awards (e.g., Singapore Promising Brand Award, Readers' Digest Most Trusted Brand Award etc.) being handed out in recent years. Companies are also paying top dollars for branding managers. This course aims to inform students about the current theories and findings on how firms manage brands. This course will address issues such as:

1) What is brand equity and how do you build brand equity?
2) How do you capitalize on brand equity?
3) What are the important issues in planning, implementing and evaluating brand strategies?
4) What are the relevant theories and models to help managers to make branding decisions?

This is a core course for all marketing students, to be taken after AB1501. The course will employ a global perspective in all course materials (theories, cases, strategies, etc.). The course will equip you to take on the perspective of a brand manager capable in considering all essential issues related to building and managing a brand, locally, regionally, and globally. You will gain competency in utilizing concepts and tools for future careers in brand management and related business functions requiring the interface with brands.",BM3509,,(Admyr 2021-onwards),0,1,AB1501,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",3
BM3509,STRATEGIC BRAND MANAGEMENT,3,,,"The brands that a firm has invested in and developed over time are typically their most valuable assets. Product designs, manufacturing processes and other business processes may be easily copied, but a strong brand is something that cannot be easily reproduced. Many Asian companies are coming to terms with the importance of branding and are putting more resources into building a strong brand. This is evident from the number of branding awards (e.g., Singapore Promising Brand Award, Readers' Digest Most Trusted Brand Award etc.) being handed out in recent years. Companies are also paying top dollars for branding managers. This course aims to inform students about the current theories and findings on how firms manage brands. This course will address issues such as:

1) What is brand equity and how do you build brand equity?
2) How do you capitalize on brand equity?
3) What are the important issues in planning, implementing and evaluating brand strategies?
4) What are the relevant theories and models to help managers to make branding decisions?

This is a core course for all marketing students, to be taken after AB1501. The course will employ a global perspective in all course materials (theories, cases, strategies, etc.). The course will equip you to take on the perspective of a brand manager capable in considering all essential issues related to building and managing a brand, locally, regionally, and globally. You will gain competency in utilizing concepts and tools for future careers in brand management and related business functions requiring the interface with brands.",BM3506,,(Admyr 2011-2020),1,0,AB1501,BUS,Letter-Graded,,,,"Accountancy And Business (MKG) Year 3, Accountancy And Business (MKG) Year 4, Accountancy And Business (MKG) Year 2, Business (MKG) Year 2, Business (MKG) Year 3",3
BR2207,QUANTITATIVE ANALYSIS,3,2024-11-2909:00-12:00,SEM^1^WED^1530-1820^ABS-SR9^,"This course covers basic knowledge in probability and statistics, regression and simulation. This course draws on applications from a variety of areas where risk analysis and data analytics have become important. Some of these applications include financial risk management, insurance risk management, corporate risk management and personal financial planning. The purpose of the course is to equip students with right mindsets and necessary knowledge and skillsets of completing Quantitative Analysis in the GARP FRM Exam Part I.",BR2201,,,1,1,AB1202,BUS,Letter-Graded,,,,"Accountancy And Business (RA) Year 3, Business (RA) Year 3, Business (RA) Year 2, Accountancy And Business (RA) Year 2, Accountancy And Business (RA) Year 4",2
BR2208,FOUNDATION OF RISK MANAGEMENT,3,,SEM^1^WED^0930-1220^LHS-TR+47^,This course is designed for students who have interest in careers in the financial risk management / analytics functions of financial institutions and corporations or in the risk management consulting services. The purpose of the course is to equip students with right mindsets and necessary knowledge and skillsets of completing Foundations of Risk Management in the GARP FRM Exam Part I.,,,,1,1,,BUS,Letter-Graded,,,,"Accountancy And Business (BAF) Year 4, Accountancy And Business (BAF) Year 3, Business (BAF) Year 3, Accountancy And Business (RA) Year 3, Accountancy And Business (BAF) Year 2, Business (BAF) Year 2, Business (RA) Year 3, Business (RA) Year 2, Accountancy And Business (RA) Year 2, Accountancy And Business (RA) Year 4",2
BR3212,COMPUTING SOLUTIONS FOR RISK MANAGEMENT & INSURANCE,3,2024-12-0209:00-11:30,SEM^1^SAT^0930-1220^S4-SR13^,"This course is specially designed for the students who are interested in learning the software tools frequently used by the practitioners in the financial industry such as Excel, VBA, SQL and R and understanding how to communicate model and model results to the target audiences. The course uses various real-life examples for demonstration in order to give the students firsthand experience of how the practitioners using the software tools in solving the problems faced by them in their day-to-day works.",BR3209,,,1,0,AB1201 & AB1202,BUS,Letter-Graded,,,,"Accountancy And Business (RA) Year 3, Business (RA) Year 3, Business (RA) Year 2, Accountancy And Business (RA) Year 2, Accountancy And Business (RA) Year 4",3
BR3213,VALUATION & RISK MODELS,3,2024-11-2809:00-11:30,SEM^1^TUE^1900-2150^S3-SR6^,"This course introduces several valuation techniques and risk models, including specific measures of financial risk, the definition of economic and regulatory capital, the models on option and fixed income valuation etc. The purpose of the course is to equip students with right mindsets and necessary knowledge and skillsets of completing Valuation and Risk Models in the GARP FRM? Exam Part I.",BR2204,,(Admyr 2011-2019),1,0,BR2210,BUS,Letter-Graded,,,,"Accountancy And Business (RA) Year 3, Business (RA) Year 3, Business (RA) Year 2, Accountancy And Business (RA) Year 2, Accountancy And Business (RA) Year 4",3
BR3229,CLIMATE RISK ANALYTICS,3,,SEM^1^WED^1430-1720^ABS-SR4^,"This course is designed for students who have interest in careers in banking, investment and wealth management, insurance companies, and ESG/risk management consulting services. The specific aim of the course is to equip students with the necessary knowledge to complete the GARP Sustainability and Climate Risk (SCR) Certificate. Students who successfully complete the course will be ready to sit for the professional exam, depending on their career interest.",,,,1,0,,BUS,Letter-Graded,,,,"Accountancy And Business (BAF) Year 4, Accountancy And Business (BAF) Year 3, Business (BAF) Year 3, Accountancy And Business (RA) Year 3, Accountancy And Business (BAF) Year 2, Business (BAF) Year 2, Business (RA) Year 3, Business (RA) Year 2, Accountancy And Business (RA) Year 2, Accountancy And Business (RA) Year 4",3
