code,name,academic_units,exam_schedule,common_information,description,mutually_exclusive,not_available,not_available_all,offered_as_bde,offered_as_ue,prerequisite,department_maintaining,grade_type,not_offered_as_bde_ue_to,not_offered_as_core_to,not_offered_as_pe_to,program_list,level
DA2002,THINKING & COMMUNICATING VISUALLY II,3,,,"In this introductory, practice-based workshop course, you will explore the fundamental aspects of two-dimensional design and colour theory. The main emphasis will be on developing an understanding of the visual language of design through paper-based experimentation with a range of techniques. You will learn about visual elements of design, principles of visual organization and composition planning. Analytical and critical thinking skills will be developed through lectures, workshops, making and critique sessions. This course provides foundation skills for further visual communication study.",,,,1,1,DA1000,ADM,Letter-Graded,,,,"Information Engineering & Media Year 3, Information Engineering & Media And Economics Year 4, Information Engineering & Media Year 4, Information Engineering & Media And Economics Year 3",2
DA3000,THINKING & COMMUNICATING VISUALLY III,3,,,"This is a studio-oriented workshop where students are given the opportunity to experience the creative design process and be expose to different skill sets required towards the development of new products and devices.  Students are guided with appropriate precedent studies engaging them in studio projects involving the `hard' and `soft' skill of the 3d visualization technique.

Through a series of exercises and assignments, students are introduced to stages of the conceptual design from 3-dimensional modeling in digital environment to creative thinking and analysis of product in terms of syntactic, pragmatic and semantic.",,,,1,1,DA1000,ADM,Letter-Graded,,,,"Information Engineering & Media Year 3, Information Engineering & Media And Economics Year 4, Information Engineering & Media Year 4, Information Engineering & Media And Economics Year 3",3
DA5007,DRAWING FOR ANIMATION,3,,TUT^G01^TUE^1630-1920^ART-02-28^,"Concepts of drawing, which carry high relevance for animation, will form the focus of this course. You will be educated about the specific way of visual thinking, which enables you to analyze figures in motion and apply the results of their drawings from life to your designs and creations. Practical studies informed by the understanding of theory of design and movement will constitute the core of the course.",DN1014,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DD0003,INFORMATION VISUALIZATION,3,,,"This introductory level course will provide an overview of the practice of information visualization. You will explore fundamental visual design techniques to interpret, organize and present visual interpretations for different forms of data. The learnings achieved in this course will expand your understanding on how complex information can be communicated meaningfully and clearly through visualization to inspire greater empathy and understanding from an audience.","DV3009, HD0101",ADM 1,,1,1,,ADM,Letter-Graded,,,,"Economics Year 4, Design & Media (MA) Year 3, Communication Studies Year 4, Economics And Public Policy & Global Affairs Year 4, Chinese And Linguistics & Multilingual Studies Year 4, Philosophy Year 4, Design & Media (MA) Year 2, Linguistics & Multilingual Studies Year 3, English Year 3, History Year 3, Philosophy Year 3, English And History Year 4, Economics And Media Analytics Year 4, Linguistics & Multilingual Studies And Philosophy Year 4, Design & Media (DA) Year 3, Chinese Year 3, Design & Media (MA) Year 4, Communication Studies Year 3, History And Linguistics & Multilingual Studies Year 4, Design & Media (DA) Year 2, Economics Year 3, History And Chinese Year 4, English Literature And Art History Year 4, English Year 4, Chinese And English Year 4, Design & Media (DA) Year 4, History Year 4, Linguistics & Multilingual Studies And English Year 4, Linguistics & Multilingual Studies Year 4, Chinese Year 4, English And Philosophy Year 4, Art, Economics And Psychology Year 4",10
DD1003,INTRODUCTION TO THE HISTORIES OF ART I: WESTERN ART HISTORY,3,,LEC/STUDIO^LE^WED^1630-1820^ART-02-35^,,,,,1,1,,,Letter-Graded,,,,"Art, English Literature And Art History Year 4, Design & Media Year 1",1
DD2013,VISUALIZATION OF CULTURAL HERITAGE,3,,,,,,,1,1,,,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, English Literature And Art History Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Design & Media (MA) Year 4, Art",2
DD3016,HISTORY OF DESIGN,3,,,,,,,1,1,,,Letter-Graded,,,,"Art, Design & Media (DA) Year 2, English Literature And Art History Year 4, Design & Media (DA) Year 3, Design & Media (DA) Year 4",3
DD4005,MEDIA ART INTERDISCIPLINARY SEMINAR,3,,,"This professional development course will prepare you for a career in the media industry following graduation. You will benefit from the experience of contemporary industry professionals who will give guidance on essential topics such as career planning, professionalism, employability, entrepreneurship, media industries intellectual property, acquiring funding, and aspects of creative business management. You will take part in discussions and projects that will strengthen your readiness for a professional life after graduation.",,,,1,1,Study Year 4,ADM,Pass/Fail,,,,"Art, Design & Media (MA) Year 4",4
DD4006,DESIGN ART INTERDISCIPLINARY SEMINAR,3,,,"This professional development course will prepare you for a career in design arts and industry following graduation. You will benefit from the experience of contemporary design arts and industry professionals who will give guidance on essential topics such as emerging industries in design arts, creative industries intellectual property, career planning, professionalization, grants and residencies, entrepreneurship and employability. You will take part in discussions and projects that will strengthen your readiness for a professional life after graduation.",,,,1,1,Study Year 4,ADM,Pass/Fail,,,,"Art, Design & Media (DA) Year 4",4
DD5008,INDEPENDENT STUDY,3,,TUT^G01^FRI^1430-1720^ART-B1-14^,,,,,1,1,,,Letter-Graded,,,,,5
DD5009,DESIGN THINKING,3,,TUT^G01^TUE^1330-1620^ART-01-02^,"As we witness the trend in merging of fields of expertise and medias, design thinking has become a common denominator, driver, translator, and connector of different disciplines.

This course encourages a mix of unusual types of collaborations among disciplines. You will get a taste of the design thinking process comprising of: empathy, definition of problem, ideation, prototyping and testing.
 
Lectures will introduce you to the key phases of design thinking. 

1.	Empathy: understand the user needs through empathy employing different methods of observation, engagement and immersion

2.	Definition of problem: capture and analyze the findings of observation in order to create a point of view

3.	Ideation: generation of unusual, radical responses to address points of view

4.	Prototyping: physical exploration through construction of objects, role play, story boarding to investigate how ideas develop and take place in the physical space

5.	Testing: generate feedback from users, incorporate feedback into prototype, continue to learn about the user?s needs.",,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DF2000,DIGITAL FILM PRODUCTION I,3,,,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DF2003,CINEMATOGRAPHY  I,3,,TUT^G01^MON^0930-1220^ART-01-19^,"This course is aimed for those who have already taken DF2000 Digital Film Production 1 and/or DN1015 Practical Digital Filmmaking and have had prior experiences of working with a camera for moving image. In this module you will learn in more depth about the responsibilities and skills of a cinematographer and how they oversee colour, light, camera movement and composition in order to interpret the script and communicate a story with moving images. This course provides training which is essential for future production and cinematography-based modules and projects.",,,Yr1,1,1,,ADM,Letter-Graded,ADM(MA),,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DF2004,SOUND IN MEDIA,3,,TUT^G01^WED^0930-1220^ART-B1-05G^,"In this introductory course you will examine sound and hearing in the media context. Theories of sound and hearing will be discussed and the role of sound in media investigated, as you examine historical, technical, cultural,  social  and  material  perspectives.  Natural  and  man-made soundscapes and the impact of new technology on sound reproduction, noise reduction and sound dissemination will be examined through the lens of sound as a cultural artifact. You will gain hands-on experience in recording and editing sound for various media applications including sound for image, to facilitate an understanding of the aesthetics of sound in media.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DF2005,WRITING FOR FILM,3,,TUT^G01^THU^1330-1620^ART-01-08^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DF2009,HISTORY OF WORLD CINEMA,3,,LEC/STUDIO^LE^FRI^1330-1620^ART-02-15^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 3, English Literature And Art History Year 4, Design & Media (MA) Year 2, Design & Media (MA) Year 4, Art",2
DF2011,SOUND FOR FILM,3,,TUT^G01^MON^1330-1620^ART-01-12A^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DF3010,EXPERIMENTAL FILM PRODUCTION,3,,TUT^G01^THU^1630-1920^ART-01-12A^,"This is an entry-level course that focuses on creation of films that allow experimentation in various stages of filmmaking processes, including the development of various alternate forms of (non) narrative story structures. You will be exposed to a range of conceptual and production strategies in experimental film using key historical and contemporary examples and then put those ideas into practice through exercises and projects in order to develop your own experimental film practice. Experience and knowledge gained in this module will provide a basis for further more developed experimental film production, as well as complementing research into this field.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",3
DF3012,FILM DIRECTING,3,,TUT^G01^WED^0930-1220^ART-01-19^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",3
DF3013,SUSTAINABLE PRODUCING FOR FILM & MEDIA,3,,TUT^G01^TUE^0930-1220^ART-B1-14^,"In this advanced level course, you will obtain a profound knowledge of the filmmaking process as a whole, from finding an idea, development, budgeting, scheduling, packaging, financing, production to marketing and distribution. In this course you will learn how to combine the best ways of telling a story with the economical and ecological needs and restrictions of physically making the film. The skills and knowledge acquired will be useful for more advanced sustainable production classes and Final Year Projects, as well as professional work after graduation. The course will focus on the environmental impact of audiovisual content production in each phase of the entire process of a film and series making with an emphasis on how to produce films and series more sustainable.",DF3003,,"Yr1,  Yr2",1,1,DF2000,ADM,Letter-Graded,ADM(MA),,,"Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",3
DM2000,INTERACTIVE I,3,,TUT^G01^THU^0930-1220^ART-01-12A^,,,,,1,1,,,Letter-Graded,,,,"Information Engineering & Media Year 3, Information Engineering & Media And Economics Year 4, Art, Design & Media (DA) Year 2, Information Engineering & Media And Economics Year 3, Information Engineering & Media And Economics Year 5, Information Engineering & Media Year 4, Design & Media (DA) Year 3, Design & Media (DA) Year 4",2
DM2008,PROGRAMMING FOR INTERACTION,3,,,,,,,1,1,,,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",2
DM2012,EXPLORATIONS IN A.I. GENERATED ART,3,,TUT^G01^TUE^1330-1620^ART-02-17^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",2
DM3008,GENERATIVE ART,3,,TUT^G01^MON^1630-1920^ART-02-17^,"This course will introduce you to the creative realm of generative art, which is based on designing and exploring the interaction between predefined systems and different factors of unpredictability. The course focuses on artistic concepts, techniques and tools that you will be able to apply in the creation of digital or analogue generative art projects. This learning will set up the foundation for further studies of generativity, and for extending the expressive potential of more complex generative projects in art, design and media.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",3
DM3009,AUDIO-VISUAL CREATIVE CODING,3,,TUT^G01^WED^1630-1920^ART-01-12A^,"This intermediate level course will introduce you to real-time interactive audio-visual performance and environments. You will explore a range of hardware and software systems where audio and video are piloted in real-time by audience, performer and /or operator. Your current basic understanding of programming, which is required for this course, will be extended and developed into expressive creative coding, and applied to the development of an original audio-visual work. This learning informs further studies in experimental practices, interactive media, interaction design, exhibit design and experience design.",,,"Yr1,  Yr2",1,1,DM2008,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Art, Design & Media (MA) Year 4, Design & Media (DA) Year 3, Art",3
DM3013,INTERACTIVE SPACES,3,,TUT^G01^MON^1330-1620^ART-01-11A^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",3
DM3014,INTERACTIVE DEVICES,3,,TUT^G01^MON^0930-1220^ART-02-17^,This intermediate level course will introduce you through practice-based learning to an ability to design and implement device-based solutions for the presentation of media content.. This learning forms the foundation for further studies in Interaction Design and Media.,DM3005,,Yr1,1,1,,ADM,Letter-Graded,ADM(DA),,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",3
DM5000,CREATIVE ROBOTICS,3,,TUT^G01^THU^1330-1620^ART-01-11A^,"This intermediate level course will introduce you to the history, genres, aesthetics, practice and relevance of creative robotics. This course discusses the deep historical and contemporary issues surrounding the artificial double that is the robot, its epistemological role and its repercussions on society. You will gain exposure to basic technical skills of physics and mechatronics, making robotic bodies from simple physical assemblages, sensors and effectors. You will then apply your knowledge in the creation, development, presentation and documentation of an original creative robotics work. This learning forms a deeper understanding of embodied approaches for further studies in animation, performing arts, interactive media, interaction design and product design.",,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DM5001,WEB DESIGN,3,,,"This course aims to introduce you to the fundamental concepts of designing and developing for the web with a focus on front-end design. Students will learn HTML, the core principles of CSS and be introduced to JQuery and other frameworks through hands-on demonstrations. HTML and CSS in particular are a useful for introducing and easing art/design students to coding environments and more advanced programming languages.
In addition, you will be exposed to aspects of user-interface design via wireframing and prototyping as well as being aware of design trends and technical requirements such as responsive design. This course prepares you for learning more advanced web development principles, working with Content Management Systems as well as hands-on, professional web development.",DM3000,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DN1001,FOUNDATION DRAWING,3,,,"To begin to develop students? ability to compose and organise a drawing and to reflect upon its content and form, as part of a practice-based introduction to the basic principles of drawing from observation.",,,,1,1,,ADM,Letter-Graded,,,,"Art, Design & Media Year 1",1
DN1002,FOUNDATION 2D,3,,,"This studio course introduces students to the basic elements and principles of 2D design and colour theory and practice. The course will provide students with the opportunity to develop confidence and skills in using a diverse range of media and practical techniques for creative problem solving. The course aims to offer a fresh and stimulating approach towards creative thinking that will develop students? skills in research, observation, interpretation, and self-expression. The special emphasis will be placed on signification and cultural context, originality through understanding of the use of visual reference and gaining awareness of the historical and contemporary resources of 2D graphic, visual and textual information.",,,,1,1,,ADM,Letter-Graded,,,,"Art, Design & Media Year 1",1
DN1003,FOUNDATION 3D,3,,,"This is a studio-oriented foundation workshop where students are given the opportunity to experience the creative design process and adopt the appropriate tools, attitude and sensitivities towards the development of their ideas into 3-dimensional work. Students are guided with appropriate precedent studies while engaging in hands-on studio projects involving differing degrees of construction and making.",,,,1,1,,ADM,Letter-Graded,,,,"Art, Design & Media Year 1",1
DN1004,FOUNDATION 4D,3,,,"This studio course exposes students to basic concepts, elements and principles used by artists and designers in 4D (time-based) creative practices. Drawing on historical and contemporary time-based creative practices, the course will provide opportunities for students to develop basic competencies, aesthetic and creative problem solving skills through the creation of short form time-based work that explores the potential image, sound, time and space in shaping viewer?s perception. The course provides students a context to explore and situate their creative interest for more advanced exploration of time-based creative practice.",,,,1,1,,ADM,Letter-Graded,,,,"Art, Design & Media Year 1",1
DP2001,DIGITAL PHOTOGRAPHY,3,,,"The Basics of Photography:
An overview of camera operation: shutter speed, aperture, depth of field, ISO, exposure, exposure compensation, focal length and sensor sizes. Gaining an understanding of the exposure triangle and how technical choices affect the aesthetic of an image: depth of field, motion blur, grain, and lens distortion. 

The Digital Workflow:
Digital technology has become a powerful tool for photographers. Increased flexibility and control of the image-making process, has allowed for greater expressive freedom. The first half of this course introduces you to the digital photographer?s workflow. Through demonstration, instruction and in-class assignments, you will gain an understanding of essential skills, from the capturing of images, to basic photo editing, and to creating archival quality photographic prints. You will have access to Nikon DSLR cameras; software such as Photoshop and Adobe Bridge; and Epson Inkjet printers. 
What Makes a Good Photograph?
An investigation into the elements of a good photograph. Exploring within a single image, the basic concepts of framing, composition, lighting, colour and subject engagement. Through analysis of each other?s prints, you will learn about the importance of colour management and its effect on tonality and colour characteristics. Differences and similarities between Straight Photography and Conceptual Photography will be discussed. 

Developing a Photographic Series:
An in-depth exploration of strategies to develop a photographic series. Different artists and genres of photography will be introduced to help you articulate your own photographic interests. Project development will be guided along through the stages of researching references, planning, execution and review. You will also learn to apply basic concepts of curation with the editing, selection and presentation of images. 

The Role of the Photographer:
Through analysis and discussions of a variety of images, you will be introduced to the semiotics of photography and the role of the photographer in its creation. The photographer as director/art director takes on the responsibility of meaning-making within the frame. Awareness will be brought to the ideas of the preconditioned gaze and the definition of the self in opposition to the other. This will translate to working with subjects and how best to engage and represent them in a photograph. 

Photography in the Digital Age of Social Media: 
Digital technology has made the photographic image more ubiquitous than ever. Lectures and discussions will touch upon photographic history and theory, as we try to locate the position of photography as an art form in the age of social media and the proliferation of the everyday image. Attempts will be made as a class to define distinguishing or overlapping traits between fine art and vernacular photography. 

Class Assignments:
- Three creative projects of increasing difficulty help guide you along the process of developing a conceptual photography series. These projects are developed through lectures, tutorials, and instructor and peer feedback sessions. During guided group critiques of projects, you will learn to give structured feedback as you build a visual vocabulary and deepen your understanding of fine art photography. 

- To inform your own practice, you are to give an artist presentation and to write an exhibition review. This will allow you to research, analyse and present findings on the work of established fine-art photographers and artists who are leading the use of digital imaging.

- In-class technical assignments help entrench lessons learnt during lectures and demonstrations.",,,Yr1,1,1,,ADM,Letter-Graded,ADM(MA),,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DP2002,HISTORY OF PHOTOGRAPHY,3,,LEC/STUDIO^LE^TUE^0930-1220^ART-02-15^,"This open elective course will provide an overview of the evolution of the photographic medium over two hundred years from earliest invention to contemporary innovations. In this course you will examine the emergence of photographic traditions and practices within the context of artistic, cultural, social, scientific, and philosophical forces that shaped particular directions in the medium?s development. This course highlights the development of photography as the first media art and is highly relevant to students pursuing the Photographic  pathway in Media Arts.",,ADM 1,,1,1,,ADM,Letter-Graded,,,,"Design & Media (MA) Year 3, English Literature And Art History Year 4, Design & Media (MA) Year 2, Design & Media (MA) Year 4, Art",2
DP2006,PRINCIPLES OF LIGHTING,3,,,In this core course you will be introduced to the control and manipulation of light for a range of situations for film or digital capture. You will learn to observe the quality of natural light as a basis for photographic studio lighting techniques and creative applications. Classroom activity will discuss the theory and application while studio participation will provide hands on experience.,,,Yr1,1,1,DN1012 OR,ADM,Letter-Graded,ADM(MA),,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DP2008,EXPERIMENTAL PHOTOGRAPHY,3,,TUT^G01^THU^0930-1220^ART-02-30^,This course will introduce you to both contemporary and historical techniques and experimental aspects of the photographic medium. You will gain a repertoire and understanding of diverse techniques that yield interesting results. Many of these techniques can be achieved without access to darkrooms and even without using cameras. The emphasis in this class will be on creativity and experimentation.,,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",2
DP3000,PHOTOGRAPHIC MEDIA & PRESENTATION,3,,TUT^G01^THU^1330-1620^ART-02-30^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",3
DP3003,SOCIALLY ENGAGED PHOTOGRAPHY,3,,TUT^G01^WED^1630-1920^ART-02-30^,"This elective will introduce you to the theory and practice of storytelling through portraiture, which you will then apply in the creation of an original photographic work. You will explore a range of approaches to narrative portraiture in contemporary photography, as well as investigate the practices and skills needed to create impactful portrait photography with a narrative component. This learning forms the foundation for further photographic studies in narratives and portraiture.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",3
DP3010,MOVING IMAGE FOR MEDIA ARTISTS,3,,TUT^G01^TUE^0930-1220^ART-02-26^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",3
DP5000,BLACK & WHITE FILM PHOTOGRAPHY,3,,,"This elective foundation level course will introduce you to the principles of photography. 
You will learn all aspects of the black and white photographic process in the traditional wet darkroom such as film development, contact printing, enlarging and proper use of chemicals. Lectures, demonstrations, critiques and hands-on practice will clarify techniques, which you will then creatively apply to making photographic images. 
Assignments and projects will allow you to explore content, make aesthetic choices and learn how to better articulate your ideas through the medium of photography. Upon completion of this course, you can expect to have a thorough understanding of the basic principles of photography",DN1012,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DR2001,PRODUCT DESIGN I,3,,TUT^G01^FRI^0930-1220^ART-B1-17A^,"Visualization and Form Making
Introduction to product design centric visualization and form making skills; concept and presentation rendering using various mixed media and/or digital tools, and making of presentation model using various materials and finishing techniques. 

Design Project
Part 1: Introduction to product design process (brief, project identification, research and data collection, ideation, concept selection, design development and finalization and presentation).

Part 2: Through simple studio project/s, you are encouraged to explore issues relating to function, cognition and aesthetics, you will progressively move from ideas to viable solutions that may be evaluated through discussions and presentation, to a viable final design that is then presented through visual presentation and physical mock-up.",,,Yr1,1,1,,ADM,Letter-Graded,ADM(DA),,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",2
DR2002,EMERGING PRODUCT DESIGN PRACTICES,3,,TUT^G01^MON^0930-1220^ART-B1-23^,"In this intermediate level course, you will be introduced to unique and topical issues in product design. You will explore one or more issues, conduct analysis and exploration, and produce designs that address a specific aspect that you have identified. This course builds upon the learning of other courses as it prepares the way for creating unique product designs.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",2
DR2005,COMPUTER AIDED DESIGN WORKSHOP I,3,,TUT^G01^WED^0930-1220^ART-B1-23^,"Computer Aided Design:
New and developing digital visualization and design technologies are not only changing the way that products are designed but also, by virtue of the new visual languages that they enable, leaving their mark on the form of the design itself. This course is a practical exploration of the introductory principles and techniques for the design, visualization and presentation of product designs such as consumer products, environments and furniture. You will be taught using commercially available design software packages, with emphasis on imparting principles, concepts and techniques which are portable across other software packages used by the profession.

Two and Three Dimensional Modelling:
Introduction to two and three-dimensional modeling principles and techniques.

Rendering:
Introduction to three-dimensional computer rendering techniques with camera, shader, and lighting effects using rendering engines.

Technical Documentation:
Introduction to technical documentation through the creation of two-dimensional drawings of three-dimensional computer models and output to print media.

Workflow:
Workflows for various modeling and visualization tasks will also be covered, such as working from sketches, orthographic views, development of primary curves and surfaces, and part detailing.

Class assignments:
You will produce a series of increasingly complex assignments and develop a foundation of computer-aided design principles and techniques. Developed through lectures, tutorials, class exercises and peer/instructor feedback sessions.",,,Yr1,1,1,,ADM,Letter-Graded,ADM(DA),,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",2
DR2014,BODY-CENTRIC DESIGN,3,,TUT^G01^THU^1330-1620^ART-B1-17A^,"This course is an examination of the many categories of wearable technology, as well as closely related fields, such as wearable computing, techno fashion, electronic textiles, intelligent jewellery and smart clothes. You will research, experiment with and design wearable technology projects, from conceptual work to pragmatic solutions and applications. In this course, you will study how technology can be used in wearable contexts as a means to complement the functions of the human body and enhance personal expression. The course offers a theoretical introduction and foundation, which is iterated through practical elements in the form of concept development and prototyping. It will provide the basis for further studies and projects that combine technology and fashion.",,,Yr1,1,1,,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",2
DR3002,COMPUTER AIDED DESIGN II,3,,TUT^G01^MON^1330-1620^ART-B1-23^,"This course focuses on intermediate principles and techniques for the design, visualization and presentation of product designs such as consumer products, environments, and furniture amongst others.
Building on the content and assignments from the DR2005 Computer Aided Design I course, you will go through a series of assignments with increasing complexity and variety to bring your modeling and presentation skills to an intermediate level.

Advanced Surface Modeling:
Intermediate level three-dimensional NURBS (Non-Uniform Rational B-Spline) surface modeling, with emphasis on curve and surface continuity.

Sub-division Modeling:
Introduction to Sub-division modeling principles and techniques.

Animation:
Introduction to keyframe animation of three-dimensional computer models.

Parametric Modeling workflow and documentation:
Introduction to integrated workflow for associative parts, assembly and drawings creation using parametric modeling programs.

Class assignments:
You will produce a series of increasingly complex assignments and develop your understanding of intermediate and advanced computer-aided design principles and techniques, through lectures, tutorials, class exercises and peer/instructor feedback sessions.",,,Yr1,1,1,DR2005,ADM,Letter-Graded,,,,"Design & Media (DA) Year 4, Design & Media (MA) Year 3, Design & Media (DA) Year 2, Art, Design & Media (MA) Year 4, Design & Media (MA) Year 2, Design & Media (DA) Year 3, Art",3
DR3006,PRODUCT DESIGN III,3,,TUT^G01^TUE^1330-1620^ART-B1-17A^,"This intermediate level course introduces you to the practice of user-centric design and designing of product systems. It is integrated as a practice-based learning experience that develops students? ability to apply the design process in the creation of product systems that combine objects, services and interfaces. This course will prepare you in designing objects and services more holistically and at a higher level in your study of product design in years 3 and 4.","DR3000, MA4858",,Yr1,1,1,DR2004,ADM,Letter-Graded,,,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",3
DR3007,STUDIES IN FORM,3,,TUT^G01^WED^0930-1220^ART-B1-17A^,"This intermediate level course introduces you to the concepts of schema and empirical methodologies in visualization, exploration and development of visual form. It is integrated as a practice-based learning experience that develops your imaginative and formative ability to allow you to create forms based on the application of learnt aspects of the visual language. You are expected to generate object form utilizing their 3D digital skillset and production tools. The design process will develop and hone your understanding of the visual impact of form as a result of transformation and manipulation.",DR3001,,Yr1,1,1,DR2005,ADM,Letter-Graded,,,,"Design & Media (DA) Year 2, Art, Design & Media (DA) Year 4, Art, Design & Media (DA) Year 3",3
DR5003,INTRODUCTION TO DESIGN,3,,TUT^G01^THU^1830-2120^LHN-TR+34^,"In this introductory level course, you will be introduced to the overall concept of design and its role in creating communications, objects, interactions, services and environments. You will be introduced the creative process of design and the various methods and tools that enable design solutions. You will gain insights into creating design solutions for people, context, behaviour, technology and business. This course will prepare you for future studies in fields related to design and design thinking.",,,Yr1,1,1,,ADM,Letter-Graded,,,,,5
DT2000,BASIC PRINCIPLES OF MOTION,3,,,"This introductory course will familiarize you with the basic principles that inform all animation practice. You will be introduced to a wide variety of traditional and non-traditional animation styles and the ideas. Through a series of hand drawn exercises, you will gain a practice-based experience of core animation fundamentals. The course is designed to develop your basic skills and to prepare you for more complex application in animation filmmaking.
Course Content
1.	The 12 principles of animation:
Overview of key concepts and theories around the creation of motion through drawing 
Using simple shapes you will create animations that will focus on different aspect of such principles. 
2.	How to draw for animation:
An exploration of your own character design to show your understanding of anatomy, gesture weight, and how you can capture the force that propels gesture and motion in animation.
3.	Exploring and understanding pose weight and attitude in relation to human basic locomotion:
Overview of basic concepts in relation to human locomotion. Through the use of a life action and animation examples you will explore the key concept behind the creation of a character basic movement.
4.	Transfer the knowledge acquired to your own personal work:
Through a series of exercises and in-class projects, you will explore different kinds of animation problems pertaining to creating original movement. Developed through lectures, workshops, peer and instructor feedback, you will apply the principles learned to a series of scenarios that deal with movement, weight, staging, and timing.",,,Yr1,1,1,,ADM,Letter-Graded,ADM(MA),,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DT2001,3D PRODUCTION,3,,,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 2, Art, Design & Media (MA) Year 4, Art, Design & Media (MA) Year 3",2
DT2007,"HISTORY & CULTURE OF ANIMATION, VFX & GAME",3,,LEC/STUDIO^LE^TUE^1330-1620^ART-B1-03^,,,,,1,1,,,Letter-Graded,,,,"Design & Media (MA) Year 3, English Literature And Art History Year 4, Design & Media (MA) Year 2, Design & Media (MA) Year 4, Art",2
